ID,Node Statement,"ID, Node Statement"
IU_rBk5,"Perceptions that land concentration hindered economic progress led Latin American governments, such as in Venezuela and Guatemala, to implement land reforms.","IU_rBk5, Perceptions that land concentration hindered economic progress led Latin American governments, such as in Venezuela and Guatemala, to implement land reforms."
IU_Ko8X,India’s land reforms in the 1960s–70s aimed to reduce rural poverty and inequality by granting land ownership to tenants.,"IU_Ko8X, India’s land reforms in the 1960s–70s aimed to reduce rural poverty and inequality by granting land ownership to tenants."
IU_vkxG,"Despite progress, patriarchal and racist beliefs persisted globally, influencing social and political structures.","IU_vkxG, Despite progress, patriarchal and racist beliefs persisted globally, influencing social and political structures."
IU_itya,"Sirimavo Bandaranaike’s 1960 election as Sri Lanka’s Prime Minister made her the world’s first female head of government, paving the way for women in leadership.","IU_itya, Sirimavo Bandaranaike’s 1960 election as Sri Lanka’s Prime Minister made her the world’s first female head of government, paving the way for women in leadership."
IU_fQzF,"Arab-Israeli conflict escalated after Israel’s 1948 founding, with immediate war and continued regional tensions.","IU_fQzF, Arab-Israeli conflict escalated after Israel’s 1948 founding, with immediate war and continued regional tensions."
IU_ILgW,"Women’s political leadership in South Asia often emerged within family dynasties, as seen with Sirimavo Bandaranaike, Indira Gandhi, and Benazir Bhutto.","IU_ILgW, Women’s political leadership in South Asia often emerged within family dynasties, as seen with Sirimavo Bandaranaike, Indira Gandhi, and Benazir Bhutto."
IU_emO8,"Gender barriers persisted in postcolonial states, as female leadership often arose from political dynasties rather than systemic change.","IU_emO8, Gender barriers persisted in postcolonial states, as female leadership often arose from political dynasties rather than systemic change."
IU_VmLa,"Gandhi’s nonviolent resistance influenced U.S. civil rights leaders like Martin Luther King Jr., shaping tactics such as sit-ins, boycotts, and peaceful protests.","IU_VmLa, Gandhi’s nonviolent resistance influenced U.S. civil rights leaders like Martin Luther King Jr., shaping tactics such as sit-ins, boycotts, and peaceful protests."
IU_aOMf,"Apartheid in South Africa legalized racial discrimination, sparking nonviolent protests led by Nelson Mandela and the ANC, ultimately leading to its dismantling.","IU_aOMf, Apartheid in South Africa legalized racial discrimination, sparking nonviolent protests led by Nelson Mandela and the ANC, ultimately leading to its dismantling."
IU_Hg6p,"Authoritarianism, economic inequality, and repression fueled student protests in Yugoslavia, Poland, Brazil, and Japan, demanding social and political reforms.","IU_Hg6p, Authoritarianism, economic inequality, and repression fueled student protests in Yugoslavia, Poland, Brazil, and Japan, demanding social and political reforms."
IU_bGfe,"Religious tensions, British rule, and systemic discrimination sparked protests and violence in Northern Ireland, fueling long-term sectarian conflict.","IU_bGfe, Religious tensions, British rule, and systemic discrimination sparked protests and violence in Northern Ireland, fueling long-term sectarian conflict."
IU_KkCH,"Opposition to the Vietnam War and dissatisfaction with university policies fueled student protests in Japan, reflecting Cold War-era unrest.","IU_KkCH, Opposition to the Vietnam War and dissatisfaction with university policies fueled student protests in Japan, reflecting Cold War-era unrest."
IU_IKsk,"Historical grievances, political marginalization, and British control intensified the Catholic-Protestant conflict in Northern Ireland, prompting the IRA’s use of violent tactics.","IU_IKsk, Historical grievances, political marginalization, and British control intensified the Catholic-Protestant conflict in Northern Ireland, prompting the IRA’s use of violent tactics."
