Node ID,Node Statement,"Node ID, Node Statement"
KC-5.4.I.B,"Because of the nature of new modes of transportation, both internal and external migrants increasingly relocated to cities. This pattern contributed to the significant global urbanization of the 19th century. The new methods of transportation also allowed for many migrants to return, periodically or permanently, to their home societies.","KC-5.4.I.B, Because of the nature of new modes of transportation, both internal and external migrants increasingly relocated to cities. This pattern contributed to the significant global urbanization of the 19th century. The new methods of transportation also allowed for many migrants to return, periodically or permanently, to their home societies."
KC-5.4.II.A,"Many individuals chose freely to relocate, often in search of work.","KC-5.4.II.A, Many individuals chose freely to relocate, often in search of work."
KC-5.4.II.B,"The new global capitalist economy continued to rely on coerced and semicoerced labor migration, including enslavement Chinese and Indian indentured servitude, and convict labor.","KC-5.4.II.B, The new global capitalist economy continued to rely on coerced and semicoerced labor migration, including enslavement Chinese and Indian indentured servitude, and convict labor."
KC-5.4.III.A,"Migrants tended to be male, leaving women to take on new roles in the home society that had been formerly occupied by men.","KC-5.4.III.A, Migrants tended to be male, leaving women to take on new roles in the home society that had been formerly occupied by men."
KC-5.4.III.B,Migrants often created ethnic enclaves in different parts of the world that helped transplant their culture into new environments.,"KC-5.4.III.B, Migrants often created ethnic enclaves in different parts of the world that helped transplant their culture into new environments."
KC-5.4.III.C,"Receiving societies did not always embrace immigrants, as seen in the various degrees of ethnic and racial prejudice and the ways states attempted to regulate the increased flow of people across their borders.","KC-5.4.III.C, Receiving societies did not always embrace immigrants, as seen in the various degrees of ethnic and racial prejudice and the ways states attempted to regulate the increased flow of people across their borders."
IU_Ghpb,Nationalist ideologies fueled imperial expansion as world powers sought to assert dominance and enhance national prestige.,"IU_Ghpb, Nationalist ideologies fueled imperial expansion as world powers sought to assert dominance and enhance national prestige."
IU_u3ju,"Britain’s loss of the American colonies forced a shift in imperial priorities, leading to increased settlement in Australia, Canada, and South Africa.","IU_u3ju, Britain’s loss of the American colonies forced a shift in imperial priorities, leading to increased settlement in Australia, Canada, and South Africa."
IU_cIVS,"France’s defeat in the Franco-Prussian War weakened its position in Europe, pushing it to expand overseas to regain national prestige.","IU_cIVS, France’s defeat in the Franco-Prussian War weakened its position in Europe, pushing it to expand overseas to regain national prestige."
IU_jYig,"Following their unifications, Italy and Germany sought colonies to assert their status as global powers.","IU_jYig, Following their unifications, Italy and Germany sought colonies to assert their status as global powers."
IU_TpYa,"Japanese nationalism and militarism drove incursions into Korea, culminating in its annexation.","IU_TpYa, Japanese nationalism and militarism drove incursions into Korea, culminating in its annexation."
IU_Z0Q5,Britain's economic dominance after the Industrial Revolution and Napoleonic Wars was challenged by other nations as the Second Industrial Revolution progressed.,"IU_Z0Q5, Britain's economic dominance after the Industrial Revolution and Napoleonic Wars was challenged by other nations as the Second Industrial Revolution progressed."
IU_aLlY,"The Monroe Doctrine, a US policy, opposed European intervention in the Americas, but U.S. expansionism after the Spanish-American War led to control over Guam, Cuba, Puerto Rico, and the Philippines.","IU_aLlY, The Monroe Doctrine, a US policy, opposed European intervention in the Americas, but U.S. expansionism after the Spanish-American War led to control over Guam, Cuba, Puerto Rico, and the Philippines."
IU_wqoH,"Building on earlier isolationist policies, the Roosevelt Corollary, an expansion of the Monroe Doctrine, justified active U.S. intervention in Latin America, to maintain stability and protect American economic interests.","IU_wqoH, Building on earlier isolationist policies, the Roosevelt Corollary, an expansion of the Monroe Doctrine, justified active U.S. intervention in Latin America, to maintain stability and protect American economic interests."
IU_skn2,"Nationalism fueled the independence movements of Balkan states like Serbia, Greece, Bulgaria, Romania, and Montenegro against the Ottoman Empire, while Bosnia and Herzegovina were ceded to Austria-Hungary, reshaping the region's political landscape","IU_skn2, Nationalism fueled the independence movements of Balkan states like Serbia, Greece, Bulgaria, Romania, and Montenegro against the Ottoman Empire, while Bosnia and Herzegovina were ceded to Austria-Hungary, reshaping the region's political landscape"
IU_qFpK,"European-influenced education, particularly the spread of Enlightenment ideals like natural rights and sovereignty, inspired indigenous resistance movements against imperial rule, as seen in uprisings across Africa, Asia, and the Americas.","IU_qFpK, European-influenced education, particularly the spread of Enlightenment ideals like natural rights and sovereignty, inspired indigenous resistance movements against imperial rule, as seen in uprisings across Africa, Asia, and the Americas."
IU_r1z8,"Indentured labor systems led Indian migrants to British colonies in the Caribbean, South Africa, East Africa, and Fiji.","IU_r1z8, Indentured labor systems led Indian migrants to British colonies in the Caribbean, South Africa, East Africa, and Fiji."
IU_Mvvo,Chinese laborers migrated to California and British Malaya under contract labor systems to build railroads and work in agriculture.,"IU_Mvvo, Chinese laborers migrated to California and British Malaya under contract labor systems to build railroads and work in agriculture."
IU_wajk,"Japanese laborers migrated to Hawaii, Peru, and Cuba under contract labor systems to work on sugar plantations.","IU_wajk, Japanese laborers migrated to Hawaii, Peru, and Cuba under contract labor systems to work on sugar plantations."
IU_hYuo,"Following the abolition of slavery, imperial powers used indentured servitude as an alternative labor system, leading to exploitative migration patterns.","IU_hYuo, Following the abolition of slavery, imperial powers used indentured servitude as an alternative labor system, leading to exploitative migration patterns."
IU_SGUS,"After the abolition of slavery, Chinese and Indian workers were often coerced or deceived into indentured servitude as a substitute labor force.","IU_SGUS, After the abolition of slavery, Chinese and Indian workers were often coerced or deceived into indentured servitude as a substitute labor force."
IU_qbca,"Britain’s abolition of slavery led to a reliance on indentured labor, creating migration patterns that shaped economic structures in British colonies.","IU_qbca, Britain’s abolition of slavery led to a reliance on indentured labor, creating migration patterns that shaped economic structures in British colonies."
IU_k0Lx,"The Irish Famine triggered mass migration, which led to the establishment of Irish diaspora communities and labor forces abroad.","IU_k0Lx, The Irish Famine triggered mass migration, which led to the establishment of Irish diaspora communities and labor forces abroad."
IU_rmpl,"Over 7 million Italians emigrated in the decades following Italian unification in 1861, seeking economic opportunities abroad.","IU_rmpl, Over 7 million Italians emigrated in the decades following Italian unification in 1861, seeking economic opportunities abroad."
IU_VymW,"Industrialization and labor migration led to ethnic enclaves in major cities, reshaping urban culture and politics.","IU_VymW, Industrialization and labor migration led to ethnic enclaves in major cities, reshaping urban culture and politics."
IU_wSJF,"Chinese migrants in Southeast Asia often thrived under colonial rule, dominating trade and commercial enterprises.","IU_wSJF, Chinese migrants in Southeast Asia often thrived under colonial rule, dominating trade and commercial enterprises."
IU_VymW,"Industrialization and labor migration led to ethnic enclaves in major cities, reshaping urban culture and politics.","IU_VymW, Industrialization and labor migration led to ethnic enclaves in major cities, reshaping urban culture and politics."
IU_wSJF,"Chinese migrants in Southeast Asia often thrived under colonial rule, dominating trade and commercial enterprises.","IU_wSJF, Chinese migrants in Southeast Asia often thrived under colonial rule, dominating trade and commercial enterprises."
